SITE,RIVER,STATION NAME,TIME/DATE,SinceLast 09:00,24 Hr toLast 09:00,24 Hr toPrev 09:00,3 DAYTOTAL,MAX RECRAINFALL,DATE,SITE_URL,STATION_URL
501008501008 - No 1 MoochalabraComments:No additonal comments.,Moochalabra Creek,No 1 Moochalabra,06:00 27Aug2025,0.0,0.0,0.0,0.0,254.9,21DEC2008,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/501008/rr2.htm,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/501008/501008.htm
501029501029 - Moochalabra DamComments:GS 809 318,Moochalabra Creek,Moochalabra Dam,07:00 27Aug2025,0.0,0.0,0.0,0.0,197.2,21DEC2008,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/501029/rr2.htm,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/501029/501029.htm
502001502001 - Mt WinifredComments:GS 802 202,Leopold River,Mt Winifred,07:05 27Aug2025,0.0,0.0,0.0,0.0,165.8,24DEC1987,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/502001/rr2.htm,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/502001/502001.htm
502002502002 - Mud SpringsComments:No additonal comments.,Leopold River,Mud Springs,06:00 27Aug2025,0.0,0.0,0.0,0.0,189.9,21FEB1991,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/502002/rr2.htm,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/502002/502002.htm
502005502005 - Mt KraussComments:GS 802 203,Margaret River,Mt Krauss,07:05 27Aug2025,0.0,0.0,0.0,0.0,195.6,28JAN2018,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/502005/rr2.htm,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/502005/502005.htm
502006502006 - Me No SavvyComments:GS 802 198.,Margaret River,Me No Savvy,07:05 27Aug2025,0.0,0.0,0.0,0.0,204.6,12MAR2024,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/502006/rr2.htm,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/502006/502006.htm
502010502010 - The HillComments:No additonal comments.,Gumm Creek,The Hill,06:05 27Aug2025,0.0,0.0,0.0,0.0,191.8,20DEC2020,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/502010/rr2.htm,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/502010/502010.htm
502014502014 - Frog HollowComments:No additonal comments.,Fletcher Creek Trib,Frog Hollow,06:05 27Aug2025,0.0,0.0,0.0,0.0,188.0,24MAR2024,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/502014/rr2.htm,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/502014/502014.htm
502015502015 - Bedford DownsComments:GS 809 310,Ord River,Bedford Downs,06:05 27Aug2025,0.0,0.0,0.0,0.0,190.9,14MAR2011,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/502015/rr2.htm,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/502015/502015.htm
502019502019 - LiammaComments:No additonal comments.,Dunham River,Liamma,06:10 27Aug2025,0.0,0.0,0.0,0.0,169.0,13MAR2011,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/502019/rr2.htm,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/502019/502019.htm
